wall_time,ros_time,msg_stamp,has_converged,matching_error,inlier_fraction,relative_x,relative_y,relative_z,relative_yaw
65.989472,1778662925.145883,1778662924.977781,1,0.050870,0.951409,0.045090,0.165598,0.025237,-0.068669
66.092795,1778662925.249208,1778662925.077790,1,0.051367,0.949668,0.048384,0.158016,0.029676,-0.068880
66.198054,1778662925.354465,1778662925.177766,1,0.049752,0.951574,0.036402,0.155562,0.034912,-0.068559
66.298141,1778662925.454555,1778662925.282246,1,0.053065,0.948030,0.038555,0.150469,0.032940,-0.067637
66.406573,1778662925.562987,1778662925.378131,1,0.051370,0.951041,0.036541,0.158757,0.026376,-0.067766
66.505854,1778662925.662263,1778662925.478111,1,0.051558,0.949996,0.041060,0.154405,0.028557,-0.068240
66.586546,1778662925.742954,1778662925.577778,1,0.050908,0.950968,0.037886,0.161139,0.025848,-0.068491
66.703661,1778662925.860085,1778662925.677794,1,0.050139,0.951786,0.039368,0.154623,0.030728,-0.067792
66.786773,1778662925.943180,1778662925.777784,1,0.050595,0.951581,0.037611,0.160301,0.030581,-0.068615
66.905216,1778662926.061624,1778662925.878129,1,0.050829,0.950756,0.041306,0.161237,0.026200,-0.067995
67.017876,1778662926.174300,1778662925.977808,1,0.049978,0.951390,0.040228,0.161932,0.028121,-0.068762
67.102179,1778662926.258587,1778662926.077785,1,0.050661,0.951416,0.041558,0.164617,0.026510,-0.068277
67.198693,1778662926.355109,1778662926.177796,1,0.049955,0.952172,0.042530,0.162280,0.027160,-0.068780
67.306290,1778662926.462702,1778662926.282257,1,0.052946,0.948753,0.039406,0.151675,0.035560,-0.067235
67.400237,1778662926.556647,1778662926.378104,1,0.051401,0.950532,0.040984,0.164462,0.029172,-0.068724
67.481287,1778662926.637716,1778662926.478251,1,0.050062,0.951110,0.042347,0.162367,0.029052,-0.068334
67.589975,1778662926.746384,1778662926.578215,1,0.050946,0.951851,0.041302,0.161256,0.030034,-0.068429
67.685647,1778662926.842057,1778662926.678057,1,0.050941,0.950463,0.038638,0.158601,0.030653,-0.068554
67.794376,1778662926.950790,1778662926.777782,1,0.050174,0.951534,0.038170,0.161653,0.028440,-0.068763
67.912417,1778662927.068826,1778662926.878354,1,0.050974,0.951477,0.038360,0.162980,0.031054,-0.068412
68.001070,1778662927.157487,1778662926.977886,1,0.051369,0.949888,0.037066,0.167769,0.029809,-0.068257
68.104481,1778662927.260897,1778662927.077914,1,0.050460,0.951283,0.034493,0.163737,0.027260,-0.068329
68.203991,1778662927.360407,1778662927.177837,1,0.050196,0.950803,0.038787,0.168189,0.027962,-0.068240
68.295799,1778662927.452207,1778662927.282296,1,0.052523,0.949838,0.047272,0.161606,0.030238,-0.068552
68.400855,1778662927.557270,1778662927.377854,1,0.050666,0.951215,0.046276,0.164744,0.030087,-0.068904
68.502013,1778662927.658425,1778662927.477847,1,0.050535,0.951732,0.049777,0.160754,0.028642,-0.067558
68.596556,1778662927.752965,1778662927.577849,1,0.051061,0.949939,0.043251,0.165867,0.030082,-0.067895
68.688772,1778662927.845182,1778662927.677819,1,0.051040,0.951081,0.040253,0.165249,0.031563,-0.068603
68.792603,1778662927.949012,1778662927.777799,1,0.050538,0.950732,0.041072,0.164249,0.031030,-0.068508
68.880955,1778662928.037368,1778662927.877813,1,0.051306,0.949823,0.042411,0.162789,0.031265,-0.067809
69.005942,1778662928.162352,1778662927.977837,1,0.050788,0.950903,0.043031,0.164728,0.029779,-0.068150
69.087524,1778662928.243948,1778662928.077850,1,0.050370,0.951396,0.043292,0.164265,0.025634,-0.067846
69.191930,1778662928.348341,1778662928.177871,1,0.050157,0.950592,0.043982,0.161171,0.026931,-0.068614
69.298384,1778662928.454794,1778662928.282328,1,0.054098,0.947543,0.038313,0.155929,0.035079,-0.067464
69.420388,1778662928.576799,1778662928.377840,1,0.051644,0.950851,0.042744,0.162820,0.029315,-0.067816
69.500461,1778662928.656869,1778662928.477758,1,0.051337,0.950645,0.045076,0.167204,0.029706,-0.068615
69.592227,1778662928.748643,1778662928.577863,1,0.050407,0.952587,0.043140,0.167482,0.029205,-0.069670
69.697746,1778662928.854163,1778662928.677807,1,0.050794,0.950387,0.040498,0.165003,0.028858,-0.068472
69.800699,1778662928.957110,1778662928.777857,1,0.051214,0.950742,0.042529,0.166344,0.028919,-0.068100
69.908212,1778662929.064629,1778662928.878476,1,0.051369,0.949944,0.044751,0.162269,0.028093,-0.068703
70.012700,1778662929.169118,1778662928.978098,1,0.051597,0.950386,0.044668,0.167184,0.030919,-0.068311
70.100752,1778662929.257162,1778662929.077880,1,0.051757,0.949397,0.048721,0.169044,0.027316,-0.069147
70.204306,1778662929.360717,1778662929.177867,1,0.051014,0.950684,0.048265,0.161082,0.031052,-0.069192
70.294279,1778662929.450694,1778662929.282433,1,0.053074,0.948676,0.036382,0.152953,0.034968,-0.066911
70.393681,1778662929.550093,1778662929.377959,1,0.051222,0.951155,0.040315,0.154660,0.027478,-0.068513
70.503639,1778662929.660051,1778662929.477833,1,0.050214,0.951668,0.035775,0.160592,0.025790,-0.068658
70.589723,1778662929.746133,1778662929.578358,1,0.051454,0.949772,0.037713,0.159547,0.027137,-0.067632
70.688346,1778662929.844757,1778662929.678355,1,0.052100,0.948932,0.041357,0.163486,0.026941,-0.068640
70.792751,1778662929.949160,1778662929.778320,1,0.050586,0.951142,0.043324,0.159562,0.027282,-0.068877
70.898445,1778662930.054854,1778662929.877870,1,0.050736,0.951062,0.036273,0.159324,0.029048,-0.067823
71.000025,1778662930.156434,1778662929.977858,1,0.050695,0.951163,0.038232,0.158805,0.028920,-0.068369
71.090383,1778662930.246794,1778662930.078348,1,0.050196,0.951066,0.038507,0.163076,0.029168,-0.068306
71.216720,1778662930.373132,1778662930.178209,1,0.051729,0.949677,0.037054,0.161395,0.031053,-0.068012
71.299028,1778662930.455441,1778662930.282562,1,0.053438,0.948758,0.040197,0.150519,0.035717,-0.067517
71.392877,1778662930.549286,1778662930.377883,1,0.050280,0.952279,0.043115,0.158892,0.027695,-0.067934
71.493671,1778662930.650082,1778662930.477875,1,0.050661,0.950756,0.044527,0.162427,0.027445,-0.069033
